"numMena";"Daara_Freq";"Daara_Quart";"Daara_Mode1";"Daara_Mode2";"Daara_Mode3";"Daara_Mode4";"Daara_Duree";"Daara_Probl1";"Daara_Probl2";"Daara_Probl3";"PrimPu_Freq";"PrimPu_Quart";"PrimPu_Mode1";"PrimPu_Mode2";"PrimPu_Mode3";"PrimPu_Mode4";"PrimPu_Duree";"PrimPu_Probl1";"PrimPu_Probl2";"PrimPu_Probl3";"PrimPr_Freq";"PrimPr_Quart";"PrimPr_Mode1";"PrimPr_Mode2";"PrimPr_Mode3";"PrimPr_Mode4";"PrimPr_Duree";"PrimPr_Probl1";"PrimPr_Probl2";"PrimPr_Probl3";"SecoPu_Freq";"SecoPu_Quart";"SecoPu_Mode1";"SecoPu_Mode2";"SecoPu_Mode3";"SecoPu_Mode4";"SecoPu_Duree";"SecoPu_Probl1";"SecoPu_Probl2";"SecoPu_Probl3";"SecoPr_Freq";"SecoPr_Quart";"SecoPr_Mode1";"SecoPr_Mode2";"SecoPr_Mode3";"SecoPr_Mode4";"SecoPr_Duree";"SecoPr_Probl1";"SecoPr_Probl2";"SecoPr_Probl3";"DispPu_Freq";"DispPu_Quart";"DispPu_Mode1";"DispPu_Mode2";"DispPu_Mode3";"DispPu_Mode4";"DispPu_Duree";"DispPu_Probl1";"DispPu_Probl2";"DispPu_Probl3";"DispPr_Freq";"DispPr_Quart";"DispPr_Mode1";"DispPr_Mode2";"DispPr_Mode3";"DispPr_Mode4";"DispPr_Duree";"DispPr_Probl1";"DispPr_Probl2";"DispPr_Probl3";"HopiPu_Freq";"HopiPu_Quart";"HopiPu_Mode1";"HopiPu_Mode2";"HopiPu_Mode3";"HopiPu_Mode4";"HopiPu_Duree";"HopiPu_Probl1";"HopiPu_Probl2";"HopiPu_Probl3";"HopiPr_Freq";"HopiPr_Quart";"HopiPr_Mode1";"HopiPr_Mode2";"HopiPr_Mode3";"HopiPr_Mode4";"HopiPr_Duree";"HopiPr_Probl1";"HopiPr_Probl2";"HopiPr_Probl3";"Pharma_Freq";"Pharma_Quart";"Pharma_Mode1";"Pharma_Mode2";"Pharma_Mode3";"Pharma_Mode4";"Pharma_Duree";"Pharma_Probl1";"Pharma_Probl2";"Pharma_Probl3";"Marche_Freq";"Marche_Quart";"Marche_Mode1";"Marche_Mode2";"Marche_Mode3";"Marche_Mode4";"Marche_Duree";"Marche_Probl1";"Marche_Probl2";"Marche_Probl3";"Mairie_Freq";"Mairie_Quart";"Mairie_Mode1";"Mairie_Mode2";"Mairie_Mode3";"Mairie_Mode4";"Mairie_Duree";"Mairie_Probl1";"Mairie_Probl2";"Mairie_Probl3";"Poste_Freq";"Poste_Quart";"Poste_Mode1";"Poste_Mode2";"Poste_Mode3";"Poste_Mode4";"Poste_Duree";"Poste_Probl1";"Poste_Probl2";"Poste_Probl3"
1;"Daara_Souvent";10;"Daara_Mode1_APied";NA;NA;NA;15;"Daara_Pb1_PasProbleme";NA;NA;"PrimPu_Souvent";10;"PrimPu_Mode1_APied";NA;NA;NA;10;"PrimPu_Pb1_PasProbleme";NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_Souvent";10;"SecoPu_Mode1_APied";NA;NA;NA;10;"SecoPu_Pb1_PasProbleme";NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;10;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;10;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;10;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
2;"Daara_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;10;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;10;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;15;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
3;"Daara_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;10;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;5;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;NA;NA;NA;NA;15;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
4;"Daara_Souvent";10;"Daara_Mode1_APied";NA;NA;NA;3;"Daara_Pb1_PasProbleme";NA;NA;"PrimPu_Souvent";28;"PrimPu_Mode1_APied";NA;NA;NA;6;"PrimPu_Pb1_PasProbleme";NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_Souvent";10;"SecoPu_Mode1_APied";NA;NA;NA;5;"SecoPu_Pb1_PasProbleme";NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";28;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";28;"HopiPu_Mode1_APied";NA;NA;NA;10;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";8;"Pharma_Mode1_APied";NA;NA;NA;12;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;10;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;10;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
5;"Daara_Souvent";67;"Daara_Mode1_APied";NA;NA;NA;15;"Daara_Pb1_PasProbleme";NA;NA;"PrimPu_Souvent";67;"PrimPu_Mode1_APied";NA;NA;NA;10;"PrimPu_Pb1_PasProbleme";NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";67;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";67;"HopiPu_Mode1_APied";NA;NA;NA;20;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;5;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";67;"Mairie_Mode1_APied";NA;NA;NA;10;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
6;"Daara_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;5;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;5;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;5;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
7;"Daara_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPu_Souvent";10;"PrimPu_Mode1_APied";NA;NA;NA;8;"PrimPu_Pb1_PasProbleme";NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;10;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;10;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;5;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;10;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
8;"Daara_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";7;"DispPu_Mode1_CarRapide";NA;NA;NA;15;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";7;"HopiPu_Mode1_CarRapide";NA;NA;NA;15;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;10;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;10;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;5;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
9;"Daara_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPu_Souvent";10;"PrimPu_Mode1_APied";NA;NA;NA;10;"PrimPu_Pb1_PasProbleme";NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_Souvent";10;"SecoPu_Mode1_APied";NA;NA;NA;10;"SecoPu_Pb1_PasProbleme";NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;15;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;15;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;10;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";10;"Marche_Mode1_APied";NA;NA;NA;5;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;10;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
10;"Daara_Souvent";10;"Daara_Mode1_APied";NA;NA;NA;5;"Daara_Pb1_PasProbleme";NA;NA;"PrimPu_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"PrimPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"SecoPu_Souvent";10;"SecoPu_Mode1_APied";NA;NA;NA;10;"SecoPu_Pb1_PasProbleme";NA;NA;"SecoPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"DispPu_Souvent";10;"DispPu_Mode1_APied";NA;NA;NA;15;"DispPu_Pb1_PasProbleme";NA;NA;"DispPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"HopiPu_Souvent";10;"HopiPu_Mode1_APied";NA;NA;NA;10;"HopiPu_Pb1_PasProbleme";NA;NA;"HopiPr_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pharma_Souvent";10;"Pharma_Mode1_APied";NA;NA;NA;5;"Pharma_Pb1_PasProbleme";NA;NA;"Marche_Souvent";5;"Marche_Mode1_APied";NA;NA;NA;5;"Marche_Pb1_PasProbleme";NA;NA;"Mairie_Souvent";10;"Mairie_Mode1_APied";NA;NA;NA;10;"Mairie_Pb1_PasProbleme";NA;NA;"Poste_PasNecessaire";NA;NA;NA;NA;NA;NA;NA;NA;NA
