"numMena";"numIndi";"PositMenage";"Sexe";"Age";"StatutMatrimonial";"StatutProfessionnel";"ModeEcole";"Eligibilite"
1;1;"ChefMenage";"Homme";53;"MarieMonogame";"ActifOccupe";NA;"Oui"
1;2;"FrereSoeur";"Femme";30;"DivorceSepare";"ActifOccupe";NA;"Oui"
1;3;"Conjoint";"Femme";29;"MarieMonogame";"Menagere";NA;"Oui"
1;4;"AutreParent";"Homme";19;"Celibataire";"EleveEtudiant";NA;"Oui"
2;1;"ChefMenage";"Homme";30;"MariePolygame";"ActifOccupe";NA;"Oui"
2;2;"FrereSoeur";"Homme";28;"Celibataire";"ActifOccupe";NA;"Oui"
2;3;"AutreParent";"Homme";27;"Celibataire";"ActifOccupe";NA;"Oui"
3;1;"ChefMenage";"Homme";42;"Celibataire";"ActifOccupe";NA;"Oui"
4;1;"ChefMenage";"Femme";65;"Veuf";"Menagere";NA;"Oui"
4;2;"FilsFille";"Homme";35;"Celibataire";"ActifOccupe";NA;"Oui"
4;3;"FilsFille";"Homme";33;"Celibataire";"Chomage";NA;"Oui"
4;4;"FilsFille";"Homme";26;"Celibataire";"ActifOccupe";NA;"Oui"
4;5;"AutreParent";"Femme";21;"MarieMonogame";"Menagere";NA;"Oui"
4;6;"AutreParent";"Femme";19;"Celibataire";"ActifOccupe";NA;"Oui"
5;1;"ChefMenage";"Homme";35;"MarieMonogame";"ActifOccupe";NA;"Oui"
5;2;"Conjoint";"Femme";28;"MarieMonogame";"Menagere";NA;"Oui"
5;3;"FilsFille";"Femme";7;"Celibataire";"EleveEtudiant";"APiedSeul";"NonEligible"
5;4;"FilsFille";"Homme";5;"Celibataire";"AutreInactif";NA;"NonEligible"
5;5;"FilsFille";"Femme";2;"Celibataire";"AutreInactif";NA;"NonEligible"
5;6;"FrereSoeur";"Homme";28;"Celibataire";"ActifOccupe";NA;"Oui"
6;1;"ChefMenage";"Homme";30;"Celibataire";"ActifOccupe";NA;"Oui"
6;2;"AutreParent";"Homme";25;"Celibataire";"ActifOccupe";NA;"Oui"
6;3;"AutreParent";"Homme";23;"Celibataire";"ActifOccupe";NA;"Oui"
6;4;"AutreParent";"Homme";22;"Celibataire";"ActifOccupe";NA;"Oui"
7;1;"ChefMenage";"Homme";64;"MarieMonogame";"Chomage";NA;"Oui"
7;2;"Conjoint";"Femme";57;"MarieMonogame";"Menagere";NA;"Oui"
7;3;"FilsFille";"Femme";24;"Celibataire";"ActifOccupe";NA;"Oui"
7;4;"FilsFille";"Femme";10;"MarieMonogame";"EleveEtudiant";"APiedSeul";"NonEligible"
7;5;"FilsFille";"Femme";7;"Celibataire";"EleveEtudiant";"APiedSeul";"NonEligible"
8;1;"ChefMenage";"Homme";58;"MarieMonogame";"ActifOccupe";NA;"Oui"
8;2;"Conjoint";"Femme";55;"MarieMonogame";"ActifOccupe";NA;"Oui"
8;3;"FilsFille";"Femme";20;"Celibataire";"EleveEtudiant";NA;"Oui"
8;4;"FilsFille";"Femme";18;"Celibataire";"EleveEtudiant";NA;"Oui"
8;5;"FilsFille";"Homme";17;"Celibataire";"EleveEtudiant";NA;"Oui"
9;1;"ChefMenage";"Homme";48;"MarieMonogame";"ActifOccupe";NA;"Oui"
9;2;"Conjoint";"Femme";33;"MarieMonogame";"ActifOccupe";NA;"Oui"
9;3;"FilsFille";"Femme";19;"Celibataire";"EleveEtudiant";NA;"Oui"
9;4;"FilsFille";"Femme";13;"Celibataire";"EleveEtudiant";NA;"Oui"
9;5;"FilsFille";"Femme";10;"Celibataire";"EleveEtudiant";"APiedSeul";"NonEligible"
9;6;"FilsFille";"Homme";8;"Celibataire";"EleveEtudiant";"APiedSeul";"NonEligible"
9;7;"FilsFille";"Homme";6;"Celibataire";"EleveEtudiant";"APiedSeul";"NonEligible"
