"numMena";"numIndi";"numDepl";"LieuDepart";"HeureDepart";"LieuArrivee";"HeureArrivee";"Duree";"Motif";"NbTrajets";"Mode1";"Mode2";"Mode3";"Mode4";"Cout"
1;1;1;"10";815;"8";820;5;"TravailAmbulant";1;"Autre";NA;NA;NA;0
1;1;2;"8";2000;"10";2020;20;"RetourDomicile";1;"MobyletteMotoConducteur";NA;NA;NA;0
1;2;1;"10";610;"10";615;5;"TravailHabituel";1;"APied";NA;NA;NA;0
1;2;2;"10";1130;"10";1135;5;"RetourDomicile";1;"APied";NA;NA;NA;0
1;2;3;"10";2000;"10";2005;5;"TravailHabituel";1;"APied";NA;NA;NA;0
1;2;4;"10";2410;"10";2415;5;"RetourDomicile";1;"APied";NA;NA;NA;0
1;3;1;"10";1015;"10";1020;5;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
1;3;2;"10";1025;"10";1035;10;"RetourDomicile";1;"APied";NA;NA;NA;0
1;4;1;"10";900;"10";905;5;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
1;4;2;"10";910;"10";915;5;"RetourDomicile";1;"APied";NA;NA;NA;0
1;4;3;"10";1100;"10";1120;20;"VisiteAmis";1;"APied";NA;NA;NA;0
1;4;4;"10";1310;"10";1330;20;"RetourDomicile";1;"APied";NA;NA;NA;0
1;4;5;"10";1600;"10";1615;15;"Etudes";1;"APied";NA;NA;NA;0
1;4;6;"10";2010;"10";2030;20;"RetourDomicile";1;"APied";NA;NA;NA;0
2;1;1;"10";915;"10";920;5;"TravailHabituel";1;"APied";NA;NA;NA;0
2;1;2;"10";1030;"10";1033;3;"RepasExterieur";1;"APied";NA;NA;NA;0
2;1;3;"10";1800;"10";1810;10;"TravailHabituel";1;"APied";NA;NA;NA;0
2;1;4;"10";1915;"10";1920;5;"RetourDomicile";1;"APied";NA;NA;NA;0
2;2;1;"10";800;"32";815;15;"AutreMotifTravail";1;"CarRapide";NA;NA;NA;75
2;2;2;"32";1330;"38";1345;15;"Religion";1;"Taxi";NA;NA;NA;1500
2;2;3;"38";1510;"12";1550;40;"VisiteAmis";1;"Taxi";NA;NA;NA;1500
2;2;4;"12";1900;"10";1950;50;"RetourDomicile";1;"APied";NA;NA;NA;0
2;3;1;"10";800;"16";820;20;"TravailHabituel";1;"CarRapide";NA;NA;NA;100
2;3;2;"16";1615;"30";1625;10;"Associations";1;"APied";NA;NA;NA;0
2;3;3;"30";1630;"16";1640;10;"AutreMotifMenage";1;"APied";NA;NA;NA;0
2;3;4;"16";1920;"10";1940;20;"RetourDomicile";1;"APied";NA;NA;NA;0
3;1;1;"10";610;"60";625;15;"TravailHabituel";1;"DakarDemDik";NA;NA;NA;150
3;1;2;"60";2315;"10";2340;25;"RetourDomicile";1;"DakarDemDik";NA;NA;NA;150
4;1;1;"10";1000;"10";1003;3;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
4;1;2;"10";1005;"10";1008;3;"RetourDomicile";1;"APied";NA;NA;NA;0
4;2;1;"10";700;"8";730;30;"TravailHabituel";1;"APied";NA;NA;NA;0
4;2;2;"8";2010;"10";2040;30;"RetourDomicile";1;"APied";NA;NA;NA;0
4;3;1;"10";1600;"2";1630;30;"RechercheTravail";1;"APied";NA;NA;NA;0
4;3;2;"2";1635;"23";1645;10;"VisiteAmis";1;"CarRapide";NA;NA;NA;100
4;3;3;"23";1700;"10";1730;30;"RetourDomicile";1;"CarRapide";NA;NA;NA;100
4;4;1;"10";600;"16";640;40;"TravailHabituel";1;"CarRapide";NA;NA;NA;100
4;4;2;"16";1630;"10";1700;30;"RetourDomicile";1;"APied";NA;NA;NA;0
4;4;3;"10";1900;"10";1905;5;"VisiteAmis";1;"APied";NA;NA;NA;0
4;4;4;"10";2100;"10";2105;5;"RetourDomicile";1;"APied";NA;NA;NA;0
4;5;1;"10";1800;"10";1810;10;"Accompagnement";1;"APied";NA;NA;NA;0
4;5;2;"10";1825;"10";1835;10;"RetourDomicile";1;"APied";NA;NA;NA;0
4;6;1;"10";710;"8";740;30;"TravailHabituel";1;"APied";NA;NA;NA;0
4;6;2;"8";2000;"10";2030;30;"RetourDomicile";1;"APied";NA;NA;NA;0
5;1;1;"10";900;"10";905;5;"TravailHabituel";1;"APied";NA;NA;NA;0
5;1;2;"10";2105;"10";2109;4;"RetourDomicile";1;"APied";NA;NA;NA;0
5;2;1;"10";1010;"10";1013;3;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
5;2;2;"10";1015;"10";1018;3;"RetourDomicile";1;"APied";NA;NA;NA;0
5;6;1;"10";715;"10";720;5;"TravailHabituel";1;"APied";NA;NA;NA;0
5;6;2;"10";1100;"8";1125;25;"AutreMotifTravail";1;"CarRapide";NA;NA;NA;100
5;6;3;"8";1200;"10";1215;15;"TravailHabituel";1;"CarRapide";NA;NA;NA;100
5;6;4;"10";1815;"10";1820;5;"RetourDomicile";1;"APied";NA;NA;NA;0
6;1;1;"10";800;"38";815;15;"DemarchesAdministratives";1;"NdiagaNdiaye";NA;NA;NA;75
6;1;2;"38";915;"8";930;15;"AutreMotifTravail";1;"VoitureParticuliereConducteur";NA;NA;NA;0
6;1;3;"8";1000;"38";1030;30;"TravailHabituel";1;"VoitureParticuliereConducteur";NA;NA;NA;0
6;1;4;"38";2300;"10";2350;50;"RetourDomicile";1;"CarRapide";NA;NA;NA;75
6;2;1;"10";815;"51";830;15;"TravailHabituel";1;"CarRapide";NA;NA;NA;75
6;2;2;"51";1900;"10";1930;30;"RetourDomicile";1;"CarRapide";NA;NA;NA;75
6;3;1;"10";1600;"2";1630;30;"TravailHabituel";1;"APied";NA;NA;NA;0
6;4;1;"10";915;"67";925;10;"TravailHabituel";1;"APied";NA;NA;NA;0
6;4;2;"67";2310;"10";2325;15;"RetourDomicile";1;"APied";NA;NA;NA;0
7;1;1;"10";1605;"10";1608;3;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
7;1;2;"10";1612;"10";1615;3;"RetourDomicile";1;"APied";NA;NA;NA;0
7;2;1;"10";1015;"10";1020;5;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
7;2;2;"10";1025;"10";1030;5;"RetourDomicile";1;"APied";NA;NA;NA;0
7;3;1;"10";1015;"13";1025;10;"TravailHabituel";1;"APied";NA;NA;NA;0
7;3;2;"13";1500;"10";1515;15;"RetourDomicile";1;"APied";NA;NA;NA;0
8;1;1;"10";800;"1";830;30;"TravailAmbulant";1;"Tata";NA;NA;NA;150
8;1;2;"1";1900;"10";1930;30;"RetourDomicile";1;"Tata";NA;NA;NA;150
8;2;1;"10";1005;"33";1020;15;"TravailHabituel";1;"CarRapide";NA;NA;NA;150
8;2;2;"33";1900;"10";1925;25;"RetourDomicile";1;"CarRapide";NA;NA;NA;150
8;3;1;"10";1000;"10";1005;5;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
8;3;2;"10";1008;"10";1012;4;"RetourDomicile";1;"APied";NA;NA;NA;0
8;3;3;"10";2205;"10";2210;5;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
8;3;4;"10";2215;"10";2220;5;"RetourDomicile";1;"APied";NA;NA;NA;0
8;4;1;"10";705;"23";740;35;"Etudes";1;"Tata";NA;NA;NA;150
8;4;2;"23";1400;"10";1440;40;"RetourDomicile";1;"Tata";NA;NA;NA;150
8;5;1;"10";1600;"10";1610;10;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
8;5;2;"10";1645;"10";1650;5;"RetourDomicile";1;"APied";NA;NA;NA;0
8;5;3;"10";2100;"10";2103;3;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
8;5;4;"10";2105;"10";2108;3;"RetourDomicile";1;"APied";NA;NA;NA;0
9;1;1;"10";600;"318";805;125;"TravailHabituel";1;"NdiagaNdiaye";NA;NA;NA;350
9;1;2;"318";1500;"10";2000;300;"RetourDomicile";1;"NdiagaNdiaye";NA;NA;NA;350
9;2;1;"10";1400;"8";1430;30;"TravailHabituel";1;"APied";NA;NA;NA;0
9;2;2;"8";1715;"10";1745;30;"RetourDomicile";1;"APied";NA;NA;NA;0
9;3;1;"10";800;"10";815;15;"Etudes";1;"APied";NA;NA;NA;0
9;3;2;"10";1510;"10";1520;10;"RetourDomicile";1;"APied";NA;NA;NA;0
9;4;1;"10";1000;"10";1010;10;"Etudes";1;"APied";NA;NA;NA;0
9;4;2;"10";1515;"10";1525;10;"RetourDomicile";1;"Minibus";NA;NA;NA;0
9;4;3;"10";2000;"10";2005;5;"VisiteAmis";1;"APied";NA;NA;NA;0
9;4;4;"10";2008;"10";2012;4;"RetourDomicile";1;"APied";NA;NA;NA;0
10;1;1;"10";800;"10";810;10;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
10;1;2;"10";815;"10";820;5;"RetourDomicile";1;"APied";NA;NA;NA;0
10;2;1;"10";900;"2";915;15;"Accompagnement";1;"Taxi";NA;NA;NA;1000
10;2;2;"2";1210;"10";1225;15;"RetourDomicile";1;"Taxi";NA;NA;NA;1000
10;3;1;"10";715;"30";730;15;"Etudes";1;"CarRapide";NA;NA;NA;100
10;3;2;"30";1630;"10";1700;30;"RetourDomicile";1;"CarRapide";NA;NA;NA;100
21;1;1;"67";900;"67";905;5;"AchatsAlimentaires";1;"APied";NA;NA;NA;0
