motif;nombre_deplacements;distribution_pourcentage;duree_moyenne_mn
administrative;179;0.49;29.85
association;140;0.39;30.20
ceremony;293;0.81;26.55
education;3471;9.59;32.53
escort;375;1.04;25.07
family_visit;760;2.10;27.74
food_shopping;3403;9.41;24.60
friends_visit;1410;3.90;26.37
health;192;0.53;23.84
home;15572;43.04;29.76
household;374;1.03;25.69
job_search;88;0.24;44.03
leisure;854;2.36;30.40
mobile_work;114;0.32;34.97
neighbour_visit;221;0.61;27.19
other;206;0.57;27.74
other_education;408;1.13;28.90
other_work;1091;3.02;28.46
religion;801;2.21;28.36
restaurant;646;1.79;25.03
services;309;0.85;27.17
shopping;811;2.24;26.80
water;147;0.41;23.81
work;4315;11.93;31.54
